"edrpou","name"
131819,"ПАТ ""ПОЛТАВАОБЛЕНЕРГО"""
131819,"ПАТ Полтаваобленерго"
131819,"ПАТ ""Полтаваобленерго"""
131819,"ПАТ""Полтаваобленерго""/ ДП""Енергоринок"""
131819,"ПАТ"" Полтаваобленерго"""
131819,"ПАТ ПОЕ"
131819,"ВАТ ""Полтава-обленерго"""
131819,"КременчуцькафiлiяПАТПолтаваобленерго"
131954,"АК ""Харківобленерго"""
131954,"АК ""Харкiвобленерго"""
131954,"АК Харкiвобленерго"
131954,"АК""ХОЄ"""
131954,"АКЦІОНЕРНА КОМПАНІЯ ""ХАРКІВОБЛЕНЕРГО"""
131954,"АК ""Харкiвоблєнерго"""
131954,"АК""Харкiвобленерго"""
132173,"Мог-Под профвн.орг. прац. держустанов"
132233,"Павлоградський комітет профспілки прац"
132345,"Волноваська профспілка держслужбовців"
132925,"Районний комітет профспілки держустано"
132931,"РК профспілки працівників держустанов"
132931,"Мостиський РК профспілки прац.держуста"
132948,"РП працівників держустанов"
132960,"Районна органiзацiя профспiлки прац."
133020,"Охтирський МКППДУ"
133066,"Рада робiтникiв держустанов"
133103,"Ром.мiськ.профсп.органiз.профсп.прац.д"
133103,"Ром.мiськ.профорг.проф. держустанов"
133149,"Кретівська сільська рада"
153100,"Газопромисл.управ.""Полтавгазвидобуванн"
153488,"ПАТ ""Грета"""
159367,"2  ВГРЗ"
159427,"Восьмий ВГРЗ"
159462,"10 ВГРЗ"
169845,"ПАТ ""ДТЕК ПЕМ-ЕНЕРГОВУГIЛЛЯ"""
169845,"ПАТ ""ДТЕК ПЕМ-ЕНЕРГОВУГІЛЛЯ"""
173367,"Дружкiвський технiкум ДДМА"
173367,"Дружківський технікум ДДМА"
173410,"Селидівський ГТ"
173427,"Дон ДУУ"
173462,"ДГТ"
173462,"Дзержинський гірничий технікум"
173485,"ДВНЗ ""Червоноградський ГЕ коледж"""
176236,"ВП ""Шахта  №9 ""НВ"""
176259,"ВП шахта ""Бужанська"""
178175,"ДВАТ ""Шахта ""Надія"""
178353,"ПАТ ""ДТЕК Павлоградвугілля """
178353,"ПАТ ""ДТЕК ПАВЛОГРАДВУГIЛЛЯ"""
178353,"ПАТ ДТЕК Павлоградвугілля"
178353,"ПАТ ""ДТЕК Павлоградвугілля"""
178353,"ВСП ШУ ""Дніпровське"" ПАТ ДТЕК ""Павлогр"
178353,"ВСП ""ШУ ДНIПРОВСЬКЕ"" ПАТ "" ДТЕК ПВ"""
179737,"ДП""Буддирекція"""
180309,"База СМП м.Києва"
180315,"КЗ ""База спец. мед. постачання"""
180315,"КЗ ""База спец.мед.постачання"""
182030,"Обласна База СМП"
182099,"КЗ СОР обл. база спец. мед. постачання"
182840,"Черкаське обл.спец.РБППР"
182857,"Волинське Спеціалізоване РБП ПР"
182857,"РБППР"
182857,"Вол.Волинське спец.РБППР"
182877,"Днiпропетровське облспец. РБП ПР"
182877,"Днiпропетровське облспецРБП ПР"
182877,"Днiпропетровське облспец.РБП ПР"
182877,"Днiпропетровське облспецРБППР"
182886,"ЖОСРБППР Добровiльного пожежного товар"
183302,"Рiвненське обласне спец.РБП ПР"
183325,"СОС РБППР ДПТ України"
183377,"Закарпатське обл.спец.РБП ПР"
183377,"Закарп.обл.спецiал.РБП ПР"
183377,"Закарпатське обласне спецiал. РБП ПР"
183512,"Відділ культури і туризму В.Новос.РДА"
183512,"Вiддiл культури i туризму"
183526,"Вiддiл культури i туризму"
183526,"Відділ культури і туризму Волн.РДА"
183555,"Відділ культури і туризму Доброп. РДА"
183561,"Відділ КМСТ"
183561,"Вiддiл КМСТ"
183590,"Відділ культури і туризму"
183650,"Відділ культури та туризму Слов. РДА"
183704,"Відділ культури ЯРДА"
183704,"ПАТ ""Райффайзен Банк Аваль"""
183822,"Краматорський відділ культури і тур."
184247,"Слобода-Яришівська с/р"
184247,"ПриватБанк м.Мог-под"
184282,"КОРОСТIВЕЦЬКА С/Р"
184282,"Коростівецька с/р"
184307,"Очитківська сільська рада"
184307,"Очиткiвська с/р"
184322,"Великоростівська сільська рада"
184336,"Левківська сільська рада"
185028,"КМКЛ №5"
185330,"КП""Теплокомуненерго"""
185382,"КП ""Нововолинськтеплокомуненерго"""
186520,"ПАТ ""Нiкопольський з-д феросплавiв"""
190294,"Інститут чорної металургії ім.З.І.Некр"
190905,"ПАТ ""IнГЗК"""
190905,"ПАТ ""IНГЗК"""
190905,"ПАТ ""Iнгулецький  ГЗК"""
191000,"ПАТ ""Південни й ГЗК"""
191017,"ДПП ""КРИВБАСПРОМВОДОПОСТАЧАННЯ"""
191017,"ДПП ""Кривбаспромводопостачання"""
191282,"ВАТ ""Полтавський ГЗК"""
191299,"ПАТ ""ЧЕРНІВЕЦЬКИЙ ЗАВОД ""ІНДУСТРІЯ"""
191678,"КП ""Компанія ""ВОДА ДОНБАСУ"""
191678,"КП ""Компанiя ""Вода Донбасу"""
191678,"КП""Компанiя""Вода Донбасу"""
191721,"ПАТ ""ВАВК"""
191885,"ПАТ""Запорiжвогнетрив"""
193269,"Криворiзький технiкум Нмет АУ"
